CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
social_page_b2b.context.p2,"Com o respaldo técnico e a expertise de anos da Porto Alegre Cia de Dança, Dance2Dance oferece uma experiência estética e transformadora. Conhecimentos e práticas desenvolvidos ao longo de anos de experiência artística chegam agora à comunidade local por meio de workshops de dança, práticas de consciência corporal e experiências de integração social.","Backed by the technical expertise of Porto Alegre Cia de Dança, Dance2Dance offers an aesthetic and transformative experience. Knowledge and practices developed over years of artistic experience now reach the local community through dance workshops, body awareness practices, and social integration experiences.","Støttet av den tekniske ekspertisen til Porto Alegre Cia de Dança, tilbyr Dance2Dance en estetisk og transformerende opplevelse. Kunnskap og praksis utviklet over år med kunstnerisk erfaring når nå lokalsamfunnet gjennom danseworkshops, praksiser for kroppsbevissthet og sosiale integreringsopplevelser."
social_page_b2b.context.quote,"Excelência não é privilégio. É oportunidade.","Excellence is not a privilege. It is an opportunity.","Fremragende kvalitet er ikke et privilegium. Det er en mulighet."
social_page_b2b.context.title,"A arte de democratizar a excelência.","The art of democratizing excellence.","Kunsten å demokratisere fremragende kvalitet."
social_page_b2b.cta.btn1,"Agendar Reunião Executiva","Schedule Executive Meeting","Planlegg Ledermøte"
social_page_b2b.cta.btn2,"Baixar Pitch Deck Institucional","Download Institutional Pitch Deck","Last ned Institusjonell Pitch Deck"
social_page_b2b.cta.desc,"Estamos selecionando parceiros estratégicos para o ano de fundação do Dance2Dance. Empresas que se unem a nós agora garantem cotas de naming rights e liderança em impacto social em Oslo.","We are selecting strategic partners for Dance2Dance's founding year. Companies that join us now secure naming rights quotas and leadership in social impact in Oslo.","Vi velger ut strategiske partnere for Dance2Dances grunnleggingsår. Bedrifter som blir med oss nå sikrer navnerettigheter og lederskap innen sosial innvirkning i Oslo."
social_page_b2b.cta.kicker,"Seja um Founding Partner","Become a Founding Partner","Bli en Founding Partner"
social_page_b2b.cta.title,"Associe sua marca à transformação.","Associate your brand with transformation.","Knytt merkevaren din til transformasjon."
social_page_b2b.hero.badge,"Powered by","Powered by","Powered by"
social_page_b2b.hero.badge_brand,"Porto Alegre Cia de Dança","Porto Alegre Cia de Dança","Porto Alegre Cia de Dança"
social_page_b2b.hero.kicker,"Investimento de Impacto Social","Social Impact Investment","Sosial Investering"
social_page_b2b.hero.scroll,"Descubra o modelo","Discover the model","Oppdag modellen"
social_page_b2b.hero.subtitle,"A cultura não precisa ser um privilégio. Com a metodologia da Porto Alegre Cia de Dança, levamos workshops de nível internacional aos moradores de Tøyen e Grønland através de um modelo de financiamento plural, seguro e sustentável.","Culture doesn't have to be a privilege. With the methodology of Porto Alegre Cia de Dança, we bring world-class workshops to Tøyen and Grønland residents through a plural, secure, and sustainable financing model.","Kultur trenger ikke være et privilegium. Med metodikken fra Porto Alegre Cia de Dança bringer vi førsteklasses workshops til innbyggerne i Tøyen og Grønland gjennom en pluralistisk, sikker og bærekraftig finansieringsmodell."
social_page_b2b.hero.title_line1,"Excelência","Excellence","Fremragende"
social_page_b2b.hero.title_line2,"que transforma.","that transforms.","som transformerer."
social_page_b2b.model.highlight,"ESG na prática. Risco diluído.","ESG in practice. Diluted risk.","ESG i praksis. Utvannet risiko."
social_page_b2b.model.intro,"Investidores fogem de projetos dependentes de doadores únicos. O Dance2Dance foi arquitetado sobre 4 pilares de receita que garantem perenidade, segurança financeira e mitigação de riscos para todos os stakeholders.","Investors avoid projects dependent on single donors. Dance2Dance was built on 4 revenue pillars that guarantee longevity, financial security, and risk mitigation for all stakeholders.","Investorer unngår prosjekter som er avhengige av én enkelt donor. Dance2Dance ble bygget på 4 inntekts-pilarer som garanterer lang levetid, økonomisk sikkerhet og risikoreduksjon for alle interessenter."
social_page_b2b.model.kicker,"Governança e Sustentabilidade","Governance and Sustainability","Styring og Bærekraft"
social_page_b2b.model.pillar1.desc,"A venda de ingressos para participantes fora da zona de impacto cobre custos básicos e atesta a demanda pelo produto.","Ticket sales to participants outside the impact zone cover basic costs and attest to the product's demand.","Billettsalg til deltakere utenfor innvirkningssonen dekker grunnleggende kostnader og bekrefter etterspørselen etter produktet."
social_page_b2b.model.pillar1.title,"Receita Própria","Self Revenue","Egeninntekt"
social_page_b2b.model.pillar2.desc,"Patrocinadores corporativos que agregam o projeto aos seus relatórios de impacto ESG, ganhando visibilidade e equity social.","Corporate sponsors who add the project to their ESG impact reports, gaining visibility and social equity.","Bedriftssponsorer som legger prosjektet til sine ESG-rapporter, og oppnår synlighet og sosial egenkapital."
social_page_b2b.model.pillar2.title,"Marcas Visionárias","Visionary Brands","Visjonære Merkevarer"
social_page_b2b.model.pillar3.desc,"Alinhamento estratégico com políticas públicas e editais culturais do governo norueguês, validando o rigor institucional.","Strategic alignment with public policies and cultural grants from the Norwegian government, validating institutional rigor.","Strategisk tilpasning til offentlig politikk og kulturtilskudd fra den norske stat, noe som validerer institusjonell strenghet."
social_page_b2b.model.pillar3.title,"Fomento Público","Public Funding","Offentlig Støtte"
social_page_b2b.model.pillar4.desc,"Filantropos independentes que exigem métricas claras e apostam no poder transformador de práticas corporais e do acesso à cultura.","Independent philanthropists who demand clear metrics and bet on the transformative power of bodily practices and access to culture.","Uavhengige filantroper som krever klare beregninger og satser på den transformerende kraften i kroppslig praksis og tilgang til kultur."
social_page_b2b.model.pillar4.title,"Private Donors","Private Donors","Private Givere"
social_page_b2b.model.summary,"Um modelo antifrágil: se uma fonte oscila, a matriz financeira se reequilibra. Segurança máxima para quem investe, continuidade garantida para quem dança.","An antifragile model: if one source fluctuates, the financial matrix rebalances itself. Maximum security for investors, guaranteed continuity for dancers.","En antifragil modell: hvis én kilde svinger, balanserer den økonomiske matrisen seg selv. Maksimal sikkerhet for investorer, garantert kontinuitet for dansere."
social_page_b2b.model.title,"Ecossistema Financeiro.","Financial Ecosystem.","Økonomisk Økosystem."
social_page_b2b.partners.desc,"Dance2Dance não age sozinho. Trabalhamos em rede com organizações que compartilham da convicção de que a arte transforma e que o acesso à cultura é um direito.","Dance2Dance does not act alone. We work in a network with organizations that share the conviction that art transforms and that access to culture is a right.","Dance2Dance handler ikke alene. Vi jobber i et nettverk med organisasjoner som deler overbevisningen om at kunst forvandler og at tilgang til kultur er en rettighet."
social_page_b2b.partners.kicker,"Quem está conosco","Who is with us","Hvem er med oss"
social_page_b2b.partners.title,"Parceiros que constroem junto.","Partners who build together.","Partnere som bygger sammen."
social_page_b2b.value.free.desc,"Residentes recebem acesso irrestrito à mesma infraestrutura e professores, gerando dignidade e pertencimento.","Residents receive unrestricted access to the same infrastructure and teachers, generating dignity and belonging.","Innbyggere får ubegrenset tilgang til samme infrastruktur og lærere, noe som genererer verdighet og tilhørighet."
social_page_b2b.value.free.label,"Comunidade Local","Local Community","Lokalsamfunn"
social_page_b2b.value.free.price,"Acesso Garantido","Guaranteed Access","Garantert tilgang"
social_page_b2b.value.insight,"“Projetos sociais que não abrem mão do mais alto padrão de qualidade técnica atraem parceiros que exigem excelência em suas próprias marcas.”","“Social projects that do not compromise on the highest standards of technical quality attract partners who demand excellence in their own brands.”","“Sosiale prosjekter som ikke går på kompromiss med de høyeste standardene for teknisk kvalitet, tiltrekker seg partnere som krever fremragende kvalitet i sine egne merkevarer.”"
social_page_b2b.value.kicker,"Transparência B2B","B2B Transparency","B2B Transparens"
social_page_b2b.value.paid.desc,"Alunos regulares atestam a qualidade do serviço e injetam receita que retroalimenta o impacto social.","Regular students attest to the quality of the service and inject revenue that fuels the social impact.","Regulære studenter bekrefter kvaliteten på tjenesten og tilfører inntekter som driver den sosiale innvirkningen."
social_page_b2b.value.paid.label,"Público Pagante","Paying Audience","Betalende deltakere"
social_page_b2b.value.paid.price,"Valor de Mercado","Market Value","Markedsverdi"
social_page_b2b.value.subtitle,"Nossas vagas gratuitas não são caridade, são bolsas integrais financiadas pelo nosso ecossistema. Ao precificarmos o workshop para o público externo, comprovamos o alto valor da entrega para os moradores locais e para nossos investidores.","Our free spots are not charity, they are full scholarships funded by our ecosystem. By pricing the workshop for external audiences, we prove the high value delivered to local residents and our investors.","Våre gratis plasser er ikke veldedighet, de er fullstendige stipender finansiert av vårt økosystem. Ved å prise workshopen for eksterne deltakere, beviser vi den høye verdien levert til lokale innbyggere og våre investorer."
